NAME                                                                          VERSION                                 TYPE                        
System.ServiceProcess                                                         8.0.2826.26413                          dotnet                       
System.ServiceProcess.ServiceController                                       10.0.726.21808                          dotnet                       
System.Text.Encoding                                                          8.0.2826.26413                          dotnet                       
System.Text.Encoding.CodePages                                                10.0.326.7603                           dotnet                       
System.Text.Encoding.Extensions                                               8.0.2826.26413                          dotnet                       
System.Text.Encodings.Web                                                     8.0.2826.26413                          dotnet                       
System.Text.Json                                                              8.0.2826.26413                          dotnet                       
System.Text.RegularExpressions                                                8.0.2826.26413                          dotnet                       
System.Threading                                                              8.0.2826.26413                          dotnet                       
System.Threading.Channels                                                     10.0.326.7603                           dotnet                       
System.Threading.Overlapped                                                   8.0.2826.26413                          dotnet                       
System.Threading.Tasks                                                        8.0.2826.26413                          dotnet                       
System.Threading.Tasks.Dataflow                                               8.0.2826.26413                          dotnet                       
System.Threading.Tasks.Extensions                                             8.0.2826.26413                          dotnet                       
System.Threading.Tasks.Parallel                                               8.0.2826.26413                          dotnet                       
System.Threading.Thread                                                       8.0.2826.26413                          dotnet                       
System.Threading.ThreadPool                                                   8.0.2826.26413                          dotnet                       
System.Threading.Timer                                                        8.0.2826.26413                          dotnet                       
System.Transactions                                                           8.0.2826.26413                          dotnet                       
System.Transactions.Local                                                     8.0.2826.26413                          dotnet                       
System.ValueTuple                                                             8.0.2826.26413                          dotnet                       
System.Web                                                                    8.0.2826.26413                          dotnet                       
System.Web.HttpUtility                                                        8.0.2826.26413                          dotnet                       
System.Windows                                                                8.0.2826.26413                          dotnet                       
System.Xml                                                                    8.0.2826.26413                          dotnet                       
System.Xml.Linq                                                               8.0.2826.26413                          dotnet                       
System.Xml.ReaderWriter                                                       8.0.2826.26413                          dotnet                       
System.Xml.Serialization                                                      8.0.2826.26413                          dotnet                       
System.Xml.XDocument                                                          8.0.2826.26413                          dotnet                       
System.Xml.XPath                                                              8.0.2826.26413                          dotnet                       
System.Xml.XPath.XDocument                                                    8.0.2826.26413                          dotnet                       
System.Xml.XmlDocument                                                        8.0.2826.26413                          dotnet                       
System.Xml.XmlSerializer                                                      8.0.2826.26413                          dotnet                       
WindowsBase                                                                   8.0.2826.26413                          dotnet                       
YamlDotNet                                                                    5.3.0.0                                 dotnet                       
abbrev                                                                        2.0.0                                   npm                          
abbrev                                                                        4.0.0                                   npm                          
adduser                                                                       3.137ubuntu1                            deb                          
agent-base                                                                    7.1.1                                   npm                          
agent-base                                                                    7.1.4                                   npm                          
aggregate-error                                                               3.1.0                                   npm                          
ansi-regex                                                                    5.0.1                                   npm                          
ansi-regex                                                                    6.0.1                                   npm        (+1 duplicate)    
ansi-styles                                                                   4.3.0                                   npm                          
ansi-styles                                                                   6.2.1                                   npm                          
aproba                                                                        2.0.0                                   npm                          
aproba                                                                        2.1.0                                   npm                          
apt                                                                           2.8.3                                   deb                          
archy                                                                         1.0.0                                   npm        (+1 duplicate)    
balanced-match                                                                1.0.2                                   npm                          
balanced-match                                                                4.0.4                                   npm                          
base-files                                                                    13ubuntu10.4                            deb                          
base-passwd                                                                   3.6.3build1                             deb                          
bash                                                                          5.2.21-2ubuntu4                         deb                          
bin-links                                                                     4.0.4                                   npm                          
bin-links                                                                     6.0.2                                   npm                          
binary-extensions                                                             2.3.0                                   npm                          
binary-extensions                                                             3.1.0                                   npm                          
